user id,item id,rating
97,1436,5
97,1113,3
97,664,4
97,1608,3
97,69,3
97,815,4
97,295,1
97,262,5
97,143,2
97,1377,5
97,727,5
97,1005,5
97,897,4
97,355,5
97,744,1
97,1667,4
97,834,4
97,661,3
97,87,4
97,1391,1
97,1577,3
97,526,5
97,1221,2
97,4,1
97,515,2
97,615,3
97,409,3
97,822,3
97,918,5
97,1211,4
97,486,5
97,1100,3
97,1209,5
97,1205,5
97,1339,4
97,1660,5
97,278,5
97,1009,4
97,1191,5
97,1316,1
97,549,4
97,628,5
97,1560,3
97,1286,4
97,147,4
97,440,4
97,199,3
97,1623,5
97,1312,4
97,1318,5
97,535,5
97,644,2
97,279,4
97,904,3
97,1485,2
97,464,2
97,1606,3
97,993,5
97,299,1
97,1257,5
97,79,5
97,1514,3
97,1106,5
97,948,3
97,913,4
97,755,5
97,363,2
97,1397,5
97,813,1
97,1405,5
97,1507,4
97,1403,3
97,843,5
97,479,1
97,859,3
97,85,3
97,1099,2
97,1267,3
97,2,4
97,1047,3
97,1193,3
97,1095,5
97,694,3
97,697,4
97,1078,3
97,173,5
97,293,5
97,1426,5
97,1665,2
97,201,5
97,703,5
97,1365,5
97,1578,5
97,1440,5
97,929,5
97,1170,3
97,571,5
97,1050,4
97,1308,4
97,42,5
97,735,4
97,569,4
97,225,5
97,476,5
97,893,5
97,864,4
97,492,4
97,1518,5
97,522,3
97,117,5
97,206,3
97,1658,5
97,1625,3
97,688,3
97,221,5
97,315,1
97,983,4
97,1184,3
97,650,4
97,1394,4
97,932,2
97,666,2
97,1143,2
97,1664,5
97,352,1
97,391,4
97,354,4
97,1681,4
97,795,4
97,1082,1
97,566,1
97,606,5
97,722,5
97,460,5
97,1541,2
298,1436,4
298,149,1
298,1263,4
298,834,4
298,976,5
298,1257,4
298,1397,5
298,1184,4
298,11,5
298,43,4
298,1617,3
298,722,4
298,677,5
298,1378,4
298,1430,3
298,1353,5
298,597,4
298,227,4
298,1333,3
298,429,4
298,576,5
298,222,4
298,1479,5
298,1670,4
298,269,3
298,1023,3
298,1522,4
298,1671,3
298,1352,4
298,489,1
298,1579,4
298,853,3
298,961,4
298,969,5
298,1044,3
298,1593,3
298,84,4
298,915,1
298,361,4
298,607,4
56,571,4
56,1617,2
56,562,4
56,606,3
56,1541,3
56,1023,2
56,969,2
56,263,4
56,964,2
56,1090,2
56,1076,5
56,586,5
56,1254,3
56,701,1
56,837,2
56,767,4
56,418,2
56,327,1
56,481,2
56,381,3
56,311,5
56,104,4
56,146,4
56,928,5
56,313,5
56,1225,2
56,1620,1
56,1332,3
422,143,4
422,1527,3
422,1617,5
422,1541,4
422,961,5
422,577,5
422,920,5
422,1272,5
422,281,3
422,767,5
422,784,2
422,268,5
422,992,5
422,1121,5
464,744,2
464,834,3
464,1391,4
464,1205,4
464,1316,1
464,549,1
464,420,4
464,279,4
464,904,3
464,1485,5
464,464,3
464,297,4
464,1507,4
464,1207,1
464,1496,3
464,173,1
464,1227,5
464,201,3
464,703,4
464,1365,5
464,314,5
464,571,5
464,1102,4
464,901,5
464,949,4
464,569,4
464,1464,2
464,1518,4
464,1061,4
464,1527,3
464,1658,1
464,239,2
464,232,5
464,346,2
464,13,4
464,713,4
464,1394,4
464,916,3
464,795,5
464,135,1
464,953,3
464,1545,3
464,1525,1
464,1427,1
464,638,3
464,110,3
464,1196,3
464,1119,1
464,123,3
464,1374,1
464,1215,2
464,329,3
464,382,3
464,220,5
464,200,2
464,590,2
464,570,5
464,1601,2
464,954,2
464,752,5
464,1194,2
464,1490,3
464,1012,1
464,553,5
464,544,2
464,629,3
464,1369,3
464,235,1
464,372,1
464,1358,3
464,1624,3
464,1359,2
464,1038,3
464,1139,5
464,1465,3
464,1064,4
464,623,5
464,88,1
464,1087,1
464,1117,1
464,234,1
464,141,4
464,1232,4
464,1137,3
464,1259,2
464,1495,2
464,1069,1
464,600,1
464,676,1
464,1246,4
464,1474,1
477,1436,4
477,815,1
477,295,4
477,262,5
477,431,4
477,1377,2
477,744,3
477,1667,3
477,936,3
477,1205,4
477,527,4
477,1560,4
477,440,3
477,1318,4
477,1257,2
477,1397,5
477,266,5
477,843,5
477,694,4
477,293,5
477,1426,4
477,201,4
477,703,5
477,1460,4
477,1578,5
477,314,4
477,679,4
477,929,4
477,1050,4
477,1212,5
477,901,4
477,42,4
477,735,4
477,569,3
477,1464,2
477,482,3
477,492,3
477,1658,5
477,221,4
477,1184,2
477,11,4
477,1664,3
477,795,2
477,846,1
477,1082,3
477,606,3
477,677,3
477,1430,4
477,1479,3
477,1352,3
477,303,3
477,969,4
477,263,3
477,84,4
477,1634,3
477,915,2
477,361,2
477,964,3
477,586,3
477,311,2
477,1545,2
477,1490,1
477,553,3
477,488,4
477,1358,4
477,1359,3
477,1038,4
477,1444,3
477,1314,2
477,148,4
477,1234,5
477,249,2
477,1605,1
477,1033,3
477,1408,1
477,1171,2
477,604,5
477,1164,4
477,205,5
477,1235,5
477,1556,5
477,469,4
477,844,5
477,1338,4
477,7,4
477,1486,4
477,402,4
477,156,5
477,1450,3
477,573,3
477,1482,3
477,301,4
477,1243,4
477,938,4
477,1298,4
477,272,5
477,845,4
477,130,5
477,72,4
477,473,5
477,1237,4
477,1484,4
477,384,4
477,1406,4
477,194,4
477,523,2
477,1587,4
477,466,4
477,1509,2
477,618,2
126,1608,5
126,262,5
126,143,2
126,431,5
126,763,3
126,834,3
126,10,4
126,1391,3
126,1401,4
126,513,5
126,936,5
126,1205,5
126,1567,2
126,1339,3
126,681,5
126,1574,3
126,527,5
126,628,4
126,1576,5
126,420,1
126,1560,5
126,1025,3
126,147,5
126,1292,4
126,1550,4
126,1142,3
126,292,5
126,1334,5
126,1026,4
126,904,4
126,976,4
126,17,4
126,266,5
126,1219,4
126,1507,5
126,376,5
126,85,5
126,829,4
126,1267,5
126,1207,1
126,1095,4
126,873,5
126,729,5
126,1578,5
126,82,5
126,929,4
126,1170,5
126,602,5
126,901,3
126,1308,4
126,735,4
126,569,5
126,476,4
126,893,3
126,864,5
126,209,2
126,482,3
126,1518,5
126,206,5
126,1480,3
126,1071,5
126,127,4
126,1658,4
126,1625,4
126,855,1
126,346,3
126,309,3
126,315,3
126,983,5
126,1184,5
126,650,4
126,1617,4
126,401,5
126,1353,3
126,1670,4
126,489,2
126,915,3
126,964,4
126,956,5
126,920,1
126,93,3
126,631,4
126,712,5
126,135,4
126,1545,5
126,490,4
126,123,4
126,342,3
126,329,4
126,382,3
126,768,3
126,1008,5
126,648,4
126,1490,3
126,235,2
126,372,5
126,44,3
126,1358,3
126,457,3
126,1038,5
126,882,5
126,501,5
126,623,4
126,1224,5
126,1117,1
126,565,2
126,141,5
126,926,5
126,1232,2
126,1137,5
126,1495,2
126,676,5
126,1049,4
126,1605,4
126,1384,3
126,604,5
126,138,3
126,1031,4
126,1344,4
126,1450,5
126,573,4
126,1152,5
126,1243,5
126,575,5
126,938,5
126,574,4
126,1149,5
126,1030,4
126,1237,5
126,1484,3
126,1160,3
126,658,3
126,906,2
126,594,4
126,1124,3
126,246,4
126,875,1
126,233,4
126,972,3
126,699,4
126,244,4
126,241,4
126,1185,4
126,1598,4
126,449,5
126,662,3
126,1001,3
126,866,3
126,955,5
126,750,5
126,1345,3
126,261,2
126,898,3
126,504,2
126,124,4
126,659,4
126,1488,3
126,1003,5
126,1148,2
126,585,3
126,1468,5
126,371,5
126,1158,3
126,103,2
126,1287,5
126,1054,3
126,26,3
126,657,4
126,1058,5
126,799,3
126,89,4
126,886,4
126,334,3
126,1294,3
126,1463,4
126,1646,5
126,186,3
126,90,5
126,144,4
126,1535,4
126,277,4
126,1429,5
126,286,4
126,436,3
126,1647,3
126,1240,3
126,452,5
126,1413,5
126,739,5
126,1145,3
126,738,4
126,625,5
126,754,3
126,1584,5
126,1074,5
126,1456,5
126,1299,5
126,428,3
126,223,5
126,484,3
126,825,5
126,1389,5
126,700,3
126,157,4
126,331,4
126,1398,4
126,1251,5
126,1136,5
126,1252,1
126,591,3
126,1528,3
126,344,5
126,1260,2
277,143,2
277,1660,5
277,1512,5
277,292,3
277,314,5
277,679,4
277,571,4
277,1308,4
277,225,5
277,554,5
277,1281,4
277,232,5
277,346,5
277,13,4
277,1277,4
277,498,2
277,846,1
277,562,3
277,1378,3
277,327,3
277,93,2
277,784,2
277,648,3
277,1465,2
277,1444,4
277,938,4
277,796,4
277,1598,3
277,958,4
277,994,1
313,815,4
313,1205,5
313,209,5
313,11,4
313,597,3
313,489,4
313,1427,5
313,511,5
313,1008,4
313,312,5
313,1535,4
313,1503,1
624,262,4
624,143,4
624,431,4
624,763,5
624,526,4
624,1472,5
624,409,4
624,1205,5
624,1191,4
624,797,3
624,1576,4
624,420,4
624,1512,4
624,525,4
624,535,4
624,1514,4
624,1199,3
624,1219,5
624,843,4
624,694,4
624,873,5
624,584,4
624,173,4
624,1460,4
624,314,3
624,929,5
624,1170,5
624,602,5
624,1050,5
624,1212,5
624,735,4
624,476,5
624,893,3
624,522,5
624,206,5
624,1658,4
624,1616,4
624,309,4
624,650,4
624,1143,4
624,1378,4
624,1430,4
624,597,4
624,1670,4
624,969,4
624,1090,3
624,418,4
624,1134,4
624,712,5
624,1194,3
624,1369,4
624,1139,3
624,1064,4
624,1234,3
624,980,4
624,1384,4
624,831,5
624,328,5
624,230,5
624,1164,4
624,497,5
624,1344,4
624,1450,4
624,938,5
624,997,4
624,574,4
624,796,4
624,1443,5
624,1237,4
624,1484,3
624,384,4
624,1406,5
624,707,4
624,362,5
624,799,5
624,1432,4
624,334,5
624,1646,4
